basic_trend_following,basic_mean_reversion,basic_breakout,basic_momentum,enhanced_enhanced_trend,enhanced_enhanced_mean_reversion,enhanced_enhanced_breakout,enhanced_enhanced_momentum,enhanced_composite,enhanced+sltp_enhanced_trend,enhanced+sltp_enhanced_mean_reversion,enhanced+sltp_enhanced_breakout,enhanced+sltp_enhanced_momentum,enhanced+sltp_composite
55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55012141.8359892,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55117630.665603794,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55386076.73722028,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55075375.18473026,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55501628.05056808,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55701898.215169296,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,56179084.35532673,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,56192170.31875309,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,54995820.050000004,55000000.0,56746999.95469748,55000000.0,55000000.0,55000000.0,54975159.78,54975159.78,55000000.0,55000000.0,55000000.0,54975159.78,54975159.78
55000000.0,55016109.37,55000000.0,56806815.03021336,55000000.0,55000000.0,55000000.0,55143747.50871963,55143747.50871963,55000000.0,55000000.0,55000000.0,55143747.50871963,55143747.50871963
55000000.0,55013495.4308191,55000000.0,56305646.31694349,55000000.0,55000000.0,55000000.0,55039941.24614023,55039941.24614023,55000000.0,55000000.0,55000000.0,55039941.24614023,55039941.24614023
55000000.0,54987593.86346178,55000000.0,56541550.30879244,55000000.0,55000000.0,55000000.0,55148036.62024355,55148036.62024355,55000000.0,55000000.0,55000000.0,55114658.38024355,55114658.38024355
55000000.0,54989004.43522268,55000000.0,56078220.15885521,55000000.0,55000000.0,55000000.0,54987494.274986744,54987494.274986744,55000000.0,55000000.0,55000000.0,54956997.72498675,54956997.72498675
55000000.0,55004093.684186704,55000000.0,56387053.17207016,55000000.0,55000000.0,55000000.0,55027122.85898983,55027122.85898983,55000000.0,55000000.0,55000000.0,55008854.52898983,55008854.52898983
55000000.0,54970698.76182677,55000000.0,56434281.93493137,55000000.0,55000000.0,55000000.0,54945545.634345815,54945545.634345815,55000000.0,55000000.0,55000000.0,55005476.90434581,55005476.90434581
55011167.59,54935503.73182676,55049339.64621416,57144319.02781337,55000000.0,55000000.0,55000000.0,55148427.227495365,55148427.227495365,55000000.0,55000000.0,55000000.0,55178101.65749537,55178101.65749537
55065093.120000005,54948531.93977919,55021669.34896483,57439508.24577452,55000000.0,55000000.0,55000000.0,55308446.23903937,55308446.23903937,55000000.0,55000000.0,55000000.0,55324350.08903936,55324350.08903936
55069635.07,55075888.18309881,54983858.23303703,57353731.5985865,55000000.0,55000000.0,55000000.0,55235095.177733794,55235095.177733794,55000000.0,55000000.0,55000000.0,55251447.057733804,55251447.057733804
55100447.44,55191023.69369477,55004021.522801735,58133208.503746726,55000000.0,55000000.0,55000000.0,55487249.52787469,55487249.52787469,55000000.0,55000000.0,55000000.0,55491986.14787469,55491986.14787469
54982084.7,55063834.94299368,54897411.98177554,57772928.738974035,55000000.0,55000000.0,55000000.0,55361644.11971321,55361644.11971321,55000000.0,55000000.0,55000000.0,55386568.01971321,55386568.01971321
55115981.67,54978086.97527076,54914295.22399479,58380018.75386143,55001161.53,55000000.0,54989217.510000005,55691460.11663294,55356710.169713214,55001161.53,55000000.0,54989217.510000005,55687749.26663292,55381994.42971321
54809982.27,54643902.463206396,54682641.830079235,57248409.94907156,54827222.227132,55000000.0,54950921.08,55065202.88629319,55206101.04479251,54827222.227132,55000000.0,54950921.08,55197851.84629318,55230431.06479251
54798007.77,54329383.16771792,54686261.913561575,57140612.2060877,54870203.48650816,54988932.4,54950921.08,54984401.76260149,55175915.29479251,54870203.48650816,54988932.4,54950921.08,55133539.85260148,55199807.25479251
54882877.32999999,54049253.301772244,54696966.67829769,57295528.32957159,55133615.79578828,54988194.56,54952477.58,55240562.418417506,55372178.22411231,55134331.415788285,54988194.56,54952477.58,55323636.4900783,55396070.18411231
54870212.669999994,54132039.414318204,54780991.90008572,57669686.88085947,55309984.955254845,54994748.04,54995105.81,55413276.26506165,55392895.75198791,55310026.22525484,54994748.04,54995105.81,55504871.689757645,55416787.711987905
54795814.959999986,54002343.11212031,54694933.2750862,57762245.8765942,55490834.10046695,54996675.36,54989420.760000005,55538301.53007307,55347260.369356595,55489939.85046695,54996675.36,54989420.760000005,55651602.96575947,55371152.32935659
54743432.05999999,53784031.96336347,54545298.06361559,56843043.11641522,55217067.13639931,54903321.35999999,54933365.39,55286264.68829426,55270642.919356585,55213339.1163993,54903321.35999999,54928455.99,55491648.81664106,55294534.879356585
54887039.06999999,53650384.28348292,54591585.52686579,57454031.72265745,55533473.90710938,54913059.309999995,55008130.68,55558849.54165767,55329649.75935659,55442338.46710938,54913059.309999995,54956827.45,55655399.380004466,55353541.71935659
55007733.06999999,53481698.21656236,54793539.57779968,58149290.66195329,55990894.0032265,54891405.93,55229031.12,56053456.48666878,55329649.75935659,55734624.368215404,54891405.93,55150235.25,55838018.50501557,55353541.71935659
55063040.309999995,53301066.34406952,54771217.289447695,58017272.79373682,56130188.707064845,54823621.39,55219123.78,56094330.58196279,55324349.979356594,55890474.52675975,54823621.39,55168271.07,55930250.645015575,55348709.74935659
54988556.64999999,53253329.62544481,54636992.24244099,57743241.11730539,56015491.12908452,54851098.349999994,55188789.059999995,56007458.017822124,55356541.98553358,55723876.088779435,54864285.269999996,55113752.09,55814409.74087492,55380901.75553357
54951143.099999994,52940185.41746479,54616844.33994447,57865914.44676023,56004006.207470976,54755344.72,55249735.84900268,55907828.57900149,55361064.72056156,55688710.20716589,54786990.83,55083285.78900268,55705758.19205428,55385424.49056155
54699711.74999999,52913263.677464806,54166041.486289665,56501133.706024684,55322493.45916938,54801659.080000006,54968403.50534028,55208374.540759094,55294749.37771916,55320148.93886428,54840511.21,54972566.22534028,55325928.11381189,55318493.14771915
54606360.739999995,52925672.9174648,54061722.04773207,56048872.897801965,55063547.16916939,54761238.14999999,54909800.85534028,54999686.19075909,55298935.37771916,55109686.39886429,54837961.449999996,54961398.36534028,55291302.79381188,55322820.54771915
